name,description,subscribers,url,username,last_post
Біла Церква Важливі новини,Новини міста Біла Церква. Актуальні новини країни,15507,#,#,3 hours
Помощь украинцам в Германии,Инфорподдержка бежавших из Украины в Германию.,15299,#,#,55 min
БЕЗПЕЧНЕ МІСТО ОБУХІВ,Група для інформування мешканців Обухівської територіальної громади.,15227,#,#,3 hours
НОВОСТИ 18+,Сотрудничество @V_O_R_O_B_E_Y,15195,#,#,2 days
🚨ЧП - Лазаревское / Сочи,По вопросам рекламы пишите сюда @Lazarevskoe_Admin,15174,#,#,69 min
Сельхоз и агропром,Сельхоз и Агропром Сельское хозяйство России Пищевая промышленность России КФХ,15138,#,#,2 hours
Чат жителей Дербент,Дербентское сообщество.,15018,#,#,45 min
Київ | Українська Волонтерська Служба,Цей чат створено Українською Волонтерською Службою,15018,#,#,3 hours
Чат Fontanka,Есть новость? Пиши сюда @fontanka_reporter_bot,14761,#,#,46 min
Типичка Чат Константиновка🇺🇦Костянтинівка,Главный чат города,14739,#,#,54 min
Пленные Погибшие и Пропавшие безвести Герои СВО,Частная инициатива офицера безопасности по поиску и помощи героям СВО. Связь со мною @AlexDegtare,14611,#,#,3 hours
ЧП-СОЧИ,ПРЕДЛОЖИТЬ НОВОСТЬ или РЕКЛАМУ,14565,#,#,20 hours
За Победу,Помощь армии РФ @Olesia31z обратная связь,14324,#,#,2 hours
Казань,,14253,#,#,3 hours
Казань News,Реклама в группе @Natashamx,14116,#,#,29 hours
Чат Инцидент Кузбасс,Ссылка на группу ИК https://t.me/+sbG3vCGOLngzMjhi,13957,#,#,52 min
Переселенцы Днепр,"Группа создана для людей, которые вынужденно стали переселенцами.",13795,#,#,53 min
Новости Казани,Реклама в группе @Natashamx1,13569,#,#,43 min
Воскресенск Онлайн,Чтобы вас приняли в эту группу надо сначала обязательно подписаться на канал @vskonline,13483,#,#,51 min
НАДЗОР UA🇺🇦-ХАРЬКОВ,ПОМОГИТЕ НАДЗОР-ХАРЬКОВ,13424,#,#,16 hours
Казань новости дня,Реклама в группе @Natashamx1,13202,#,#,3 hours
Трэш Chat Ульяновск и УО,Прислать новость боту - @trash73_bot,13054,#,#,48 min
ReadovChat,Чат Ридовки @readovkanews,12891,#,#,48 min
Мукачево News🗞⌚️🏘🏔☕️🌤,адмін @angelina_rek,12783,#,#,4 hours
Луганск&События,"В нашей группе делимся новостями,  обстановкой в Луганске                                                       Связь с админом: ️  @luganskGroup_bot",12740,#,#,54 min
Біла Церква Інфо🗞⌚️☕️🌤,адмін @angelina_rek,12684,#,#,4 hours
Житомир чат | ПЖ каналу,https://t.me/pzhytomyr,12647,#,#,60 min
Кам'янське Live🗞⌚️☕️🌤,адмін @angelina_rek,12607,#,#,4 hours
Ужгород 🗞⌚️🏔☕️🌤,адмін @angelina_rek,12556,#,#,4 hours
VinTime Вінниця,"Офіційна телеграм-група новинного ресурсу Вінниччини - газети ""VinTime""",12545,#,#,2 hours
Вячеслав Квон Chat,"Друзья, приветствую всех в моем чате! Здесь у вас есть возможность оставить комментарий или задать волнующие вас вопросы о жизни в Артёме, планах или нашей работе. Надеюсь на конструктивный диалог и эффективную обратную связь",12513,#,#,47 min
РОБОТА ПОЛТАВА!🇺🇦,Зв'язок з адміном  @Adm1nUA,12492,#,#,2 hours
Mylubertsy®️ Чат • Люберцы,Главный чат города Люберцы,12303,#,#,53 min
Подслушано Чат,"Чат канала ""Подслушано""",12240,#,#,51 min
Люберцы 24,"Люберцы любимый город, тут Вы найдёте всегда свежие новости и немножко юмора!",12219,#,#,4 hours
Сочи-Адлер канал - (it долина),"Канал творческий потенциал ! для высказывания мыслей, поиска единомышленников, волонтеров и просто хороших людей) светлые идеи приветствуются IT Долина России.",12149,#,#,3 hours
"ЗАПОЛЯРНАЯ - ЖК Славянка, ЖК на Красных Партизан, ЖК Студия 45, КРАСНОДАР",‍‍‍ Чат соседей на ул. ЗАПОЛЯРНАЯ,11880,#,#,72 min
Gulag Chat,,11874,#,#,45 min
57 Харьков: Холодная Гора 🇺🇦 Залютино 🇺🇦Новая Бавария 🇺🇦 Центральный рынок 🇺🇦 ЮЖД 🇺🇦 Ивановка 🇺🇦 Сортировка 🇺🇦,Вас приветствует демократичный чат,11857,#,#,62 min
Слов'янськ Сьогодні🗞⌚️🌆🏘🏫🏔☕️🌤,адмін @angelina_rek,11781,#,#,22 days
Мариуполь Левобережный,Фоточки присылайте:,11728,#,#,19 hours
ЖК Императорские Мытищи,"Чат Форум дольщиков, соседей ЖК Императорские Мытищи. Отзывы о ЖК. Независимая группа.",11704,#,#,45 min
Кременчук LiFE🗞⌚️🏘☕️🌤,адмін @angelina_rek,11611,#,#,2 hours
Чат Свет38,,11579,#,#,51 min
АГС_Русского_Донбасса Chat,Общаемся и сообщаем обстановку по ЛДНР,11467,#,#,58 min
Білогородська територіальна громада,Корисні інформаційні сервіси громади:,11458,#,#,2 hours
ПГТ Голубое,"Реклама, продажи -  (только в соответствующем разделе)",11285,#,#,49 min
Город Стаханов. ЧАТ,Настоятельно рекомендуем ознакомиться с правилами группы по команде /rules,11257,#,#,51 min
Районы Луганска,,11241,#,#,2 hours
АХУЄННИЙ ЧАТ 🐏 💨,ЗАБОРОНЕНО В АЧ:,11214,#,#,68 min
Ситуация на блокпостах Донбасса,Ситуация на блокпостах сегодня,11205,#,#,54 min
"Взаємодопомога 🚨 7:40 Одеса / БФ ""Тримай""","Чат для координації людей, які бажають допомогти, та тих, хто потребує допомоги",11136,#,#,53 min
ЧП Дмитров / Оперативный чат,Только лучшие из лучших,11060,#,#,10 min
ШТОРМ Z/ШТОРМ V/МОБИК ВАЖНОЕ,@vswarvs - Основная группа с инфой,10944,#,#,74 min
Москва || Афиша Духовных практик,По всем вопросам размещения писать админу @eliz_mngr,10936,#,#,2 days
Чат - Информационный центр СК России,,10921,#,#,49 min
🟨 ЧАТ КАМЕНСКОЕ 🟨,,10881,#,#,67 min
ЛИНКО ФОРУМ Лаборатории Аккредитация,Платформа для лабораторий. Аккредитация лабораторий. Вопросы деятельности лабораторий. https://linqo.ru,10788,#,#,48 min
ЧАТ ЖК ВЕРЕСАЕВО,По ВСЕМ вопросам писать сюда ⤵️,10787,#,#,76 min
КлинZдесь,"Чат создан по инициативе Администрации городского округа Клин Московской области для оперативной коммуникации жителей с представителями органов местного самоуправления и помощи в решении вопросов, находящихся в компетенции Администрации.",10675,#,#,46 min
Черноморский чат 🇺🇦,Чат для жителей города Черноморск.,10564,#,#,56 min
ЮГ TRAVEL 🏖️ Chat,"Чат канала @Yug_Travel , реклама запрещена.",10558,#,#,2 hours
57 Харьков: ХТЗ 🇺🇦 Рогань 🇺🇦 Немышля 🇺🇦 Восточный 🇺🇦 Горизонт 🇺🇦 Докучаевское 🇺🇦 Хролы 🇺🇦,Вас приветствует демократичный чат,10498,#,#,60 min
Умань News🗞⌚️☕️🌤,адмін @angelina_rek,10399,#,#,4 hours
Люди Z Online,"Чат для разговоров об актуальном. Уважаем друг друга. Не материмся и не ведёмся на провокации укроботов. Есть возможность высказаться, но не оскорблять. Ссылки на другие источники нещадно удаляем ради безопасности",10258,#,#,44 min
Волноваха|Новости|Обстановка,Актуальная информация по Волновахскому округу.,10232,#,#,95 min
Проспект Победы-Алексеевка,Правила чата и ВАЖНОЕ в закреплённых сообщениях.,10160,#,#,58 min
К͟р͟ы͟м͟и͟н͟ф͟о͟р͟у͟м͟🇿 Ч̾А̾Т̾☕️︎✍️︎🗣,Самый большой Крымский чат - форум!,10157,#,#,43 min
Санкт-Петербург / Общение,"Общение, обсуждение законов и мероприятий города.",10141,#,#,45 min
Салмачи - Куюки | Чат,Общая группа д.Куюки и п.Салмачи и близлежащих посёлков и ЖК.,10082,#,#,47 min
County Kerry Kingdom of Munster 🇺🇦 🇮🇪County Cork,"Всем привет ,группа Обмен ,продажа,покупка,обсуждение тем и новостей!https://t.me/KerryIreland",10003,#,#,95 min
Ногинск Богородск,Здравствуйте дорогие Жители и гости прекрасного Богородского округа .,10002,#,#,2 hours
Городской Чат NorilskToday 18+,Самый крупный чат Норильска!Только для жителей 18+,9995,#,#,49 min
Я ❤️ Подольск чат,По рекламе  @Sofia_Reklama,9973,#,#,47 min
БЕРДЯНСК ОНЛАЙН,Добро пожаловать в Бердянск! Город курорт на берегу Азовского моря.,9956,#,#,46 min
Покровский район 🔹ЧАТ🔹 Покровск 🔹 Мирноград 🔹 Доброполье,Чат Покровского района,9929,#,#,69 min
Донецкий чат,КАНАЛ: @etodonetsk,9852,#,#,52 min
Чат города Видное,"Чат города Видное, Ленинского района",9838,#,#,45 min
Геническ в Теме,,9805,#,#,64 min
Красногорск Чат,По рекламе   @mrs_kunda,9795,#,#,43 min
Солнцево онлайн Чат,Чатик solncevo_online,9725,#,#,46 min
Мій Павлоград🗞⌚️☕️🌤,адмін @angelina_rek,9690,#,#,4 hours
Нагаево.инфо,Чаты -  https://telegra.ph/Spisok-chatov-10-05,9599,#,#,53 min
Ньюсач/Двач - редакция,Новости,9547,#,#,46 min
Наш Климовск,В чате присутствуют представители администрации г.о. Подольск и правительства Московской области.,9352,#,#,48 min
Яменсков Александр Иванович | Заместитель главы Новороссийска,,9347,#,#,32 days
🇺🇦БРОВАРИ ПОСЛУГИ🇺🇦,"Бровари, Броварський район",9317,#,#,2 hours
Чат большой воронежский,Поделиться новостью/связь с админом: @FirstVoronezh_bot,9314,#,#,51 min
Подслушано | Видное (Чат),По рекламе   @mrs_kunda,9300,#,#,79 min
ЖК Домашний чат,"Чат ЖК Домашний: г.Москва, ул.Донецкая.",9266,#,#,66 min
СОЛИКАМСК LIVE [чат],Ссылку на чат отправляйте друзьям или воспользуйтесь функцией «Добавить участников»,9259,#,#,41 min
Краснознаменск 💖 Чат,Реклама в группе: @v_krasnoznamenske_ru,9191,#,#,45 min
TOPOR,Чат закрыт. Наш основной канал — https://t.me/+BwU7U4PI27k2OTNi,9175,#,#,15 hours
Ачинцы,,9154,#,#,48 min
Чат Гданьск/Гдиня🇺🇦Trójmiasto/Gdańsk/Gdynia/Sopot/Гдыня/Гданськ/Ґданськ/Сопот/Труймясто,Реклама/контакт: @trojmiasto_bot,9079,#,#,2 hours
Волноваха і район / Я ❤️ Волноваха,"@Volna_Contat_bot - написати адміну, повідомити розташування окупантів Волноваській СБУ",9034,#,#,56 min
Головний Чат Павлограда 🤔,З правилами нашого чату ви можете ознайомитися перейшовши за посиланням:,8950,#,#,52 min
🇺🇦🇩🇪Українці в Дюссельдорфі Бремені,Реклама @rek111bot,8851,#,#,59 min
xydessa premium comments,"Комментарии доступны пользователям Telegram Premium, которые проголосовали за канал https://t.me/xydessa?boost",8719,#,#,51 min
Ситуація на Україні,,8589,#,#,2 days
Моя Олександрія🗞⌚️☕️🌤,адмін @angelina_rek,8414,#,#,4 hours
БУКОВИНСЬКИЙ ЧАТ - ЧЕРНІВЦІ - БУКОВИНА!,Чат міста ЧЕРНІВЦІ - 24/7,8360,#,#,49 min
Львів | Українська Волонтерська Служба,Цей чат створено Українською Волонтерською Службою,8303,#,#,2 hours
Шостка Info🗞⌚️🌆☕️🌤,адмін @angelina_rek,8130,#,#,4 hours
"Угледар , Павловка , Никольское , Владимировка 🇷🇺 18+",Информационная группа,8058,#,#,2 hours
Чат м. Укpaїнка,Порушення - бан,7966,#,#,48 min
Днепр свет/вода,чат канала https://t.me/avariycka,7925,#,#,55 min
Жашків,Правила групи: https://telegra.ph/Pravila-grupi-ZHashk%D1%96v-08-15,7909,#,#,54 min
Допомога Львів,Группа взаємодопомоги Львова!,7824,#,#,3 hours
Агро Чат (Зерно/Покупка/Продажа),Спецтехника Чат (Пригон/Покупка/Продажа/Комплектующие),7801,#,#,49 min
Взаємопоміч Кривий Ріг,Оголошення присилати адміну в приватні повідомлення.,7617,#,#,59 min
Херсонская область чат🇷🇺,Делитесь информацией и узнавайте интересующее у местных жителей!,7541,#,#,51 min
Миколаївка | Обговорення інформації Николаевка | Обсуждение информации,"Чат міста Миколаївка, Краматорського району, Донецької області.",7534,#,#,24 min
Чат Харьков 🇺🇦,‼️Правила Чату‼️,7504,#,#,71 min
Реальний Нововолинськ,"Друзі, вітаємо Вас у групі «Реальний Нововолинськ»!",7454,#,#,3 hours
МИРНОГРАД / ЧАТ 🇺🇦,Наші сторінки  в ін.соц.мережах:,7208,#,#,55 min
Типичный Краматорск | Чат 💬,Чат канала Типичный Краматорск,7183,#,#,59 min
Текстильщик Донецк ДНР 🇷🇺 [чат💬],"1️⃣-й районный, информационно-развлекательный ЧАТ  взаимопомощи, общения и хорошего настроения жителей м-на Текстильщик, Кировского р-на г. Донецка ‍‍. Чат создан 26.01.2018 г.  Связь с админом @Pochtasms_bot",6725,#,#,48 min
Нікополь LIVE🗞⌚️☕️🌤,адмін @angelina_rek,6722,#,#,4 hours
Бровари Life🗞⌚️☕️,адмін @angelina_rek,6718,#,#,4 hours
GRAN FORO UKR 24,Foro de discusiones.,6658,#,#,55 min
